Iteration	 training_error			 testing_error
1			 1434.0543275847078	 845.1188376502823
2			 1434.5316281006076	 845.1188376502823
3			 1421.2067550780432	 837.1161286030331
4			 1411.79656620877	 830.8082932993464
5			 1402.1013935310618	 667.0518110811306
6			 1391.5844468139792	 659.9007971847565
7			 1381.4239386786867	 650.4635351864372
8			 1375.596849534372	 732.4593719526637
9			 1368.1570890437881	 725.5825011352505
10			 1355.972034611576	 717.140561162763
11			 1347.5109815290068	 713.247334329425
12			 1336.3553872694972	 708.9682495319845
13			 1327.1570400391251	 703.2310960931748
14			 1316.2420638373217	 695.8917189749068
15			 1305.1849390625052	 588.8414825242496
16			 1294.5848857356257	 581.5590425230308
17			 1287.51445589905	 636.8837422651516
18			 1277.861439803307	 627.1981852606565
19			 1272.3617442075602	 617.6737153720043
20			 1263.0650231425498	 610.2319814012576
21			 1251.9968339025415	 601.1169334857489
22			 1241.0266788247081	 593.9467113566626
23			 1236.9410561959985	 636.6059674639173
24			 1224.6221192345968	 559.7247077859853
25			 1210.6468263571521	 553.4454891755908
26			 1207.8845733183216	 546.662104026874
27			 1196.5785385485192	 540.7126808100481
28			 1193.6814874296765	 603.7860821110805
29			 1179.5524967772383	 530.2864621966293
30			 1173.980441868207	 590.1883207239498
31			 1165.4097892334157	 585.6423106866372
32			 1152.9678759019725	 578.6156251268576
33			 1146.3609436872014	 573.7551686735658
34			 1137.4221842188547	 569.0980725045011
35			 1129.752206228776	 557.6664654149178
36			 1122.0435159599472	 496.11130887351675
37			 1118.020452525243	 549.2631050417929
38			 1106.484416548087	 492.3299639432322
39			 1100.9036771627393	 534.8935697133
40			 1092.2660721535779	 541.0361893997805
41			 1085.1454044133823	 540.1175957516361
42			 1075.0674743376583	 531.025328824555
43			 1065.0272426864574	 533.1499815534793
44			 1057.2649203751168	 530.3372590237037
45			 1049.4594008034	 551.4817922431955
46			 1046.5667300120808	 516.0907850383506
47			 1039.135015688917	 515.1119852681054
48			 1031.286692680681	 538.8448330604675
49			 1023.1178995414291	 509.14195179483147
50			 1017.3683205792411	 503.4493460088957
51			 1009.4687412421899	 496.78287337801834
52			 998.3391444020596	 445.42916752425015
53			 992.6059218155891	 488.13329923221363
54			 984.3634048341137	 468.4561195532923
55			 977.6125888255908	 439.2624687249708
56			 969.6062289090992	 436.29088364134486
57			 966.6631355479228	 434.55295276098997
58			 962.3455921286104	 428.48854353010483
59			 949.8652499417501	 441.0303548206202
60			 942.1289751934916	 416.5338021000573
61			 935.5455078047386	 471.3144254343856
62			 925.4732101297815	 426.5765597933947
63			 925.1481082572234	 423.7879730964657
64			 914.0515185262876	 438.67368000152436
65			 903.2584488292845	 410.6751061746661
66			 903.8082256898266	 442.01281776657635
67			 893.236838948512	 456.47125062596103
68			 888.2448490479029	 414.11232038104714
69			 883.2239636216071	 402.5550589815807
70			 872.3849355809003	 447.5177535338
71			 865.8417501058773	 402.19908402567444
72			 862.8055524540638	 437.8102050800716
73			 856.0877826071587	 439.8319669938358
74			 850.907544254367	 432.94637806074775
75			 846.0071369620113	 460.12164614455156
76			 836.8587861464102	 392.7263703349123
77			 832.9382143918206	 436.23853176004104
78			 824.5172059287202	 436.58310156002244
79			 815.6768294717893	 421.29794162592157
80			 813.480353334194	 387.68449580838745
81			 806.0637858095101	 429.5141606598094
82			 801.4753461155722	 378.92057252532646
83			 794.1952076362538	 394.3321587279121
84			 787.7007374783312	 405.22519421264246
85			 782.3941989593387	 388.0154737941946
86			 778.0587181730402	 385.6788457446408
87			 774.1876503982552	 402.8918299791943
88			 762.9037435449108	 367.58927906465664
89			 755.2648806316275	 380.4059687310734
90			 751.0179879138436	 383.84145355401307
91			 747.2492665267762	 364.84418343483907
92			 740.8555619797914	 364.4988117589954
93			 729.350931398803	 359.9135255243618
94			 727.4874455807345	 356.1077869105554
95			 725.0947738986935	 386.26911516526377
96			 718.1813334108434	 353.7691382749699
97			 712.731243391337	 341.2495998354182
98			 705.5868896866286	 346.3532876145935
99			 702.430274155865	 322.4455688577792
100			 694.1023201449824	 338.47299283726784
101			 691.206453172235	 339.66443440568344
102			 688.2165459051934	 330.86108341621696
103			 680.4835495683882	 347.33995725758945
104			 675.1914179725419	 349.7764170618791
105			 670.233961987909	 327.22418048415767
106			 661.5160502838161	 319.31598337877597
107			 657.5412375688542	 328.1814836519853
108			 652.397451884548	 309.77089430277704
109			 651.2869777492148	 305.3423490829161
110			 641.4098886639197	 299.0064096844354
111			 636.9459285263443	 303.57107341304106
112			 634.8118909379928	 314.7597413830764
113			 630.7278071820983	 304.64825300166547
114			 619.6825261341495	 305.56152169217717
115			 617.5938854078931	 298.95380758253793
116			 615.6322926726277	 306.6057835482018
117			 605.13470406029	 306.2923738723289
118			 601.7487842061652	 290.5822462338756
119			 598.0109592615784	 271.5914041553619
120			 591.0471818054	 293.05888273064284
121			 588.3617533307294	 289.2965762198146
122			 582.0168745669864	 291.6601069687767
123			 580.460252655658	 270.7329193735711
124			 576.4526166848216	 294.9232502387159
125			 567.1389473490125	 271.3294457273066
126			 565.6548547521023	 284.6340208214305
127			 561.4049796059903	 282.6790966015218
128			 556.9674917895308	 272.55668438904974
129			 551.4346905166091	 281.3282611348445
130			 546.2926728121588	 286.04989405813745
131			 541.7765652781992	 258.7508052701384
132			 538.920697428246	 258.9346341834577
