T T T T T T T T T T T Y Y V V V F T Y Y Y Y T T Y Y Y Y Y Y Y Y T T T T X H K K K V V M M N N N N W W W W W F F F F F F 
T T T T T T T T T T T Y Y Y Y T F F T T T T T T T Y T T Y Y Y Y F T T P P P K K K V V N N N N N N W W W W V Y F F F F F 
T T T T T T T Y Y Y Y Y Y Y Y F F F T T T Y T T T T T T T T T F T T T Y P P S T V V V V N N N N W W W W W V V V F F F F 
Y T T T T T T Y Y Y Y T V F F F F F F T T T T T T T T T T T T T T T T F P P Y Y V V V V N N N N W W W W V V V V V F F F 
Y Y T T T Y Y Y Y T T T F F F F F P F F F T T T T T T T T T T T T T T E F F Y Y Y V V V N N N W W W W W V V V V V V F F 
Y Y V V V V T T T T T T V F P P P P P F F P F F F F F F F T T T T E C E C G D D D Y N N N N N W W W W W W V V V V V V V 
Y V V V V V V T T T T V V P P P P P P P P P P F F F F F F T T T E E E E C E O D K K N N N N N N W W W W W N V V V V V V 
Y V V V V V V V V V V V W W P P P P F F F P P P P F F F F S S C E E E E C E D D H H N N N N N N M N W W N N V V V V V V 
Y Y V V V Y Y V V V W W W W Q B B F F F F F F F F F F F F S S S E E E C C C B D D K N N N N N M M M M N N N V V V V V V 
V V Y Y Y Y Y Y Y W W W W W B B B B F F F F F F P P F F F S S L L L E C C E D D D H F N N M M M M M M M M N W W W W V V 
V V V V V Y Y Y Y Y W W W O B R B B P P F F F F P P P P P S S S L L E G G G D D D J I F F M M M M M M M M N W W W W W W 
V V V V V V V Y Y Y Y N N H B B B B P P P P P P P P P P I I I I Z Z G G G S B B B J I I F M M M M M M M M A W W W W W W 
V V V V V V V V Y Y Y N N N B R D D P P P P P P P P F F I I I I Z Z Z F Z Z Z D D J I I F F M M M M M R U A W W W W W W 
U U U U U V V V V V N N N N D D D D P P P P P P P P P F I I I J Z Z F F Z Z Z Z B X I I F F N O O O O O U D A W W W W W 
U U U U U U U U M M M M N N D D D D P P P P P P P P P P P J J J J Z I F Z Z I I I X B B N N N P U O O V O O W W W W W W 
U U U U U U U U M M M M M D D D D D P P P P P P P P P P P J J J J F F F F I I I J J T T N N N P P Y Y V Y O W W W W W W 
U U U U U U U M M M M M N N D D D O P P P P P P P P P P F I J J J J F L X X I I J J R R N N N P P Y P P P V V W W W W W 
H H U U U U M M M M M M N N N D D D P P P P P P P P P P P X X X J I E E X X X I I B B B D N B B P P P P P P V W W W W W 
H H H H M M M M M M M M N N N D D D P P P P P P P P O O O X X X X X C C E X X S S V V B H D B B N P P P P P W W W W W W 
H N N N M M M M M M M M N N D D D D P P P P P P O O O O X X X X X C C C C C L S V V V V H H R B N P P H H G W W W W W W 
H N N N N M M M M M M M D N N D D D D P P P P O O O O X X X X X X Q E G F R R R F B V H H K K R B G Y Y Y Y V W W W W W 
